ID;Name;Position;Number;Club;CountryOfClub;DateOfBirth;Age;HeightCM;Country;Caps;Goals;PlaysInHomeCountry
200213;Pablo ARMERO;Defender;7;West Ham United FC;England;02/nov/86;27;174;Columbia;52;1;No
216964;Nigel DE JONG;Midfielder;6;AC Milan;Italy;30/nov/84;29;174;Netherlands;70;1;No
182379;Pablo ZABALETA;Defender;4;Manchester City FC;England;16/jan/85;29;174;Argentina;36;0;No
268911;Toshihiro AOYAMA;Midfielder;14;Sanfrecce Hiroshima;Japan;22/fev/86;28;174;Japan;5;0;Yes
268411;PARK Jooho;Defender;22;FSV Mainz 05;Germany;16/jan/87;27;174;South Korea;13;0;No
298677;Jonathan DE GUZMAN;Midfielder;8;Swansea City AFC;England;13/set/87;26;174;Netherlands;10;0;No
314197;NEYMAR;Forward;10;FC Barcelona;Spain;05/fev/92;22;175;Brazil;48;31;No
229884;David VILLA;Forward;7;Atletico Madrid;Spain;03/dez/81;32;175;Spain;95;56;Yes
228599;Javier HERNANDEZ;Forward;14;Manchester United FC;England;01/jun/88;26;175;Mexico;61;35;No
270301;Eduardo VARGAS;Forward;11;Valencia CF;Spain;20/nov/89;24;175;Chile;29;13;No
319470;Mario GAVRANOVIC;Forward;17;FC Zuerich;Switzerland;24/nov/89;24;175;Switzerland;11;4;Yes
216970;Salomon KALOU;Forward;8;Lille OSC;France;05/ago/85;28;175;Ivory Coast;66;22;No
336435;Antoine GRIEZMANN;Forward;11;Real Sociedad;Spain;21/mar/91;23;175;France;3;1;No
186808;Aleksandr KERZHAKOV;Forward;11;FC Zenit St. Petersburg;Russia;27/nov/82;31;175;Russia;80;25;Yes
177927;Antonio CASSANO;Forward;10;Parma FC;Italy;12/jul/82;31;175;Italy;36;10;Yes
319438;Georginio WIJNALDUM;Midfielder;20;PSV Eindhoven;Netherlands;11/nov/90;23;175;Netherlands;4;1;Yes
248373;Franck RIBERY;Forward;7;FC Bayern Muenchen;Germany;07/abr/83;31;175;France;81;16;No
254167;NANI;Forward;17;Manchester United FC;England;17/nov/86;27;175;Portugal;73;14;No
178842;Edison MENDEZ;Midfielder;8;Independiente Santa Fe;Columbia;16/mar/79;35;175;Ecuador;110;18;No
200179;Cesc FABREGAS;Midfielder;10;FC Barcelona;Spain;04/mai/87;27;175;Spain;88;13;Yes
230739;Rodrigo PALACIO;Forward;18;FC Internazionale;Italy;05/fev/82;32;175;Argentina;21;2;No
294620;Andre AYEW;Midfielder;10;Olympique Marseille;France;17/dez/89;24;175;Ghana;47;4;No
190962;DANI ALVES;Defender;2;FC Barcelona;Spain;06/mai/83;31;175;Brazil;74;6;No
358013;Yohan CABAYE;Midfielder;6;Paris Saint-Germain FC;France;14/jan/86;28;175;France;29;2;Yes
349588;Felipe GUTIERREZ;Midfielder;16;FC Twente;Netherlands;08/out/90;23;175;Chile;17;1;No
286259;Alvaro GONZALEZ;Midfielder;20;SS Lazio;Italy;29/out/84;29;175;Uruguay;42;2;No
358014;Blaise MATUIDI;Midfielder;14;Paris Saint-Germain FC;France;09/abr/87;27;175;France;22;1;Yes
307026;Cristian GAMBOA;Defender;16;Rosenborg BK;Norway;24/out/89;24;175;Costa Rica;25;1;No
339447;Johnny ACOSTA;Defender;2;LD Alajuelense;Costa Rica;21/jul/83;30;175;Costa Rica;26;1;Yes
181698;Aldo RAMIREZ;Midfielder;5;CA Monarcas Morelia;Mexico;18/abr/81;33;175;Columbia;29;1;No
296303;Juan Carlos GARCIA;Defender;6;Wigan Athletic FC;England;08/mar/88;26;175;Honduras;35;1;No
291329;Ismael TIOTE;Midfielder;9;Newcastle United FC;England;21/jun/86;27;175;Ivory Coast;42;1;No
207924;James MILNER;Midfielder;17;Manchester City FC;England;04/jan/86;28;175;England;46;1;Yes
254141;Bacary SAGNA;Defender;15;Arsenal FC;England;14/fev/83;31;175;France;40;0;No
321682;Medhi LACEN;Midfielder;8;Getafe CF;Spain;15/mar/84;30;175;Algeria;29;0;No
